|Shares|Security ID|Transaction Description|Date|Amount|Price|Transaction Code
204|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|179.0||c
205|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|239.25||c
206|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|227.5||c
207|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|769.2||c
298|34821.74|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/7/15|-34821.74|-1.0|b
191|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
201|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|232.0||c
190|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
175|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
188|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
168|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
167|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
166|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
165|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
164|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
154|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|676.2||c
163|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1050.0||c
162|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1050.0||c
161|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1050.0||c
160|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1050.0||c
159|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1200.0||c
158|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|276.2||c
157|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|517.7||c
156|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|586.2||c
189|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
152|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|196.2||c
153|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|597.13||c
1|||CASH DISBURSEMENT PAID TO XXXXXXX|12/7/15|-5500.0||c
